,Median_Income,zip_code,name,cuisine,price_range,rating,review_count,latitude,longitude,price,cuisine_cat
183,107130,20002.0,El Presidente,Mexican,3,4.1,265.0,38.90862,-77.0006,45.5,latin
185,107130,20002.0,The Pub & The People,New American,2,4.2,328.0,38.91233844891041,-77.0093277,20.5,american
186,107130,20002.0,Nostra Cucina,Italian,2,4.4,140.0,38.89496,-77.00118,20.5,european
187,107130,20002.0,Bronze,New American,3,4.3,180.0,38.900002317932426,-76.98868639999999,45.5,american
189,107130,20002.0,Stellina Pizzeria,Pizza,2,4.1,316.0,38.9078,-77.00032,20.5,american
190,107130,20002.0,The Haymaker Bar,New American,2,4.3,86.0,38.89993,-76.99205,20.5,american
191,107130,20002.0,La Cosecha,Cultural Center,2,4.5,80.0,38.909007,-76.9996115,20.5,entertainment
193,107130,20002.0,King Street Oyster Bar,Seafood,2,4.0,659.0,38.905967,-77.008042,20.5,asian
199,107130,20002.0,Treehouse Rooftop,Wine Bars,2,4.0,57.0,38.91089365691521,-76.99753875994404,20.5,bars
201,107130,20002.0,Cotton & Reed,Distilleries,2,4.3,215.0,38.9094889860117,-76.9977027922869,20.5,retail
204,107130,20002.0,Republic Restoratives Distillery,Distilleries,2,4.4,104.0,38.9154040687813,-76.9852808117867,20.5,retail
206,107130,20002.0,Other Half Brewing DC,Breweries,2,4.9,88.0,38.91425316524378,-76.98375121165662,20.5,retail
207,107130,20002.0,Jimmy Valentine's Lonely Hearts Club,Dive Bars,2,4.4,81.0,38.90392,-76.9806,20.5,bars
208,107130,20002.0,Metrobar DC,Bars,2,4.0,119.0,38.9212319,-76.9968751,20.5,bars
209,107130,20002.0,Little Miss Whiskey's Golden Dollar,Bars,2,3.9,350.0,38.90043,-76.99121,20.5,bars
210,107130,20002.0,Wunder Garten At Noma,Beer Gardens,2,3.7,253.0,38.90399857933707,-77.00541937364945,20.5,bars
211,107130,20002.0,Union Pub,Pubs,2,3.4,424.0,38.894788385996975,-77.00304000235836,20.5,bars
212,107130,20002.0,CR NoMa,Mediterranean,2,4.4,180.0,38.90591,-77.00473,20.5,european
213,107130,20002.0,Copycat Co,Cocktail Bars,2,4.3,777.0,38.9004517,-76.9910202,20.5,bars
214,107130,20002.0,The Pub & The People,New American,2,4.2,328.0,38.91233844891041,-77.0093277,20.5,american
215,107130,20002.0,Red Bear Brewing,Breweries,2,4.0,257.0,38.90544,-77.00247,20.5,retail
217,107130,20002.0,Tiki Garden Thai Street Food,Thai,2,4.8,92.0,38.90041,-76.9885,20.5,asian
219,107130,20002.0,The Haymaker Bar,New American,2,4.3,86.0,38.89993,-76.99205,20.5,american
224,107130,20002.0,Bistro Cacao,French,3,4.2,806.0,38.8944704296041,-77.00110386499308,45.5,european
225,107130,20002.0,Hill Prince,Cocktail Bars,2,4.2,76.0,38.899893,-76.986978,20.5,bars
228,107130,20002.0,The Conservatory at Ivy City,Cocktail Bars,3,4.2,5.0,38.914413,-76.984257,45.5,bars
230,107130,20002.0,Dirty Water,Sports Bars,2,4.0,45.0,38.9002024063803,-76.9940482762149,20.5,bars
231,107130,20002.0,Stable DC,Modern European,2,4.6,348.0,38.900399,-76.987348,20.5,european
232,155054,20003.0,Any Day Now,Coffee & Tea,2,4.3,167.0,38.87955,-77.00859,20.5,cafes
233,155054,20003.0,The Roost,Coffee & Tea,2,4.1,135.0,38.87980720664,-76.9852322620679,20.5,cafes
235,155054,20003.0,La Famosa,Puerto Rican,2,4.2,422.0,38.87476196056468,-77.00001389556692,20.5,latin
237,155054,20003.0,Souk,Herbs & Spices,2,4.0,176.0,38.880962,-76.995307,20.5,cafes
238,155054,20003.0,Peregrine Espresso,Coffee & Tea,2,4.3,530.0,38.88553632545,-76.996396911717,20.5,cafes
241,155054,20003.0,as you are.,Bars,2,4.6,41.0,38.88257,-76.99471,20.5,bars
242,155054,20003.0,Gregorys Coffee,Bakeries,2,3.8,87.0,38.87698839999999,-77.0044963,20.5,cafes
243,155054,20003.0,Gregorys Coffee,Bakeries,2,3.8,87.0,38.87698839999999,-77.0044963,20.5,cafes
244,155054,20003.0,Le Bon Cafe,Coffee & Tea,2,3.7,235.0,38.8872604,-77.0033569,20.5,cafes
245,155054,20003.0,Barrel,New American,2,4.3,939.0,38.8851357980807,-76.9978595803566,20.5,american
247,155054,20003.0,Shilling Canning Company,New American,2,4.3,260.0,38.87397,-77.00108,20.5,american
249,155054,20003.0,Chloe,New American,2,4.5,693.0,38.87431,-77.00072,20.5,american
250,155054,20003.0,CIRCA at Navy Yard,American,2,4.4,561.0,38.87629,-77.00629,20.5,american
251,155054,20003.0,Caruso's Grocery,Italian,2,4.6,263.0,38.879703,-76.985245,20.5,european
253,155054,20003.0,Ambar,Modern European,3,4.5,2287.0,38.88208,-76.99534,45.5,european
254,155054,20003.0,La Casina,Pizza,2,4.4,106.0,38.88537,-76.99645,20.5,american
256,155054,20003.0,Rose's Luxury,New American,4,4.5,2380.0,38.88063,-76.99534,61.0,american
257,155054,20003.0,Free State,Wine Bars,2,4.3,140.0,38.898453,-77.019255,20.5,bars
259,155054,20003.0,Barrel,New American,2,4.3,939.0,38.8851357980807,-76.9978595803566,20.5,american
260,155054,20003.0,as you are.,Bars,2,4.6,41.0,38.88257,-76.99471,20.5,bars
261,155054,20003.0,Bluejacket,Breweries,2,3.5,1363.0,38.874952961886,-77.00076755087,20.5,retail
264,155054,20003.0,The Bullpen,Sports Bars,2,3.5,123.0,38.875366052539405,-77.00773318220872,20.5,bars
271,155054,20003.0,Smoke & Mirrors,Bars,2,3.3,276.0,38.88026990594507,-77.00567749999999,20.5,bars
272,155054,20003.0,Betsy,Bars,2,4.1,124.0,38.88222794958307,-76.99469676016406,20.5,bars
273,155054,20003.0,Tom's Watch Bar,Sports Bars,2,3.8,78.0,38.87548784628661,-77.00728649999999,20.5,bars
274,155054,20003.0,Fight Club,Bars,2,4.0,470.0,38.8847842208475,-76.9973258,20.5,bars
275,152955,20004.0,Gregorys Coffee,Coffee & Tea,2,3.6,112.0,38.8959499,-77.02177979999999,20.5,cafes
276,152955,20004.0,Timgad Cafe,Coffee & Tea,1,4.1,148.0,38.89360349731878,-77.02926874631972,5.0,cafes
281,152955,20004.0,Compass Coffee,Coffee & Tea,2,4.2,307.0,38.89714,-77.02100676404511,20.5,cafes
282,152955,20004.0,Puro Gusto Cafe,Coffee & Tea,1,3.9,94.0,38.89748396923004,-77.03134942799807,5.0,cafes
283,152955,20004.0,Pitango Gelato & Coffee,Coffee & Tea,2,4.2,1040.0,38.8950575888157,-77.0218540728092,20.5,cafes
284,152955,20004.0,Pitango Gelato & Coffee,Coffee & Tea,2,4.2,1040.0,38.8950575888157,-77.0218540728092,20.5,cafes
286,152955,20004.0,Café du Parc,French,2,3.4,496.0,38.8964914630626,-77.0326561039029,20.5,european
287,152955,20004.0,Proper 21 - F Street,Bars,2,3.9,861.0,38.8976440429688,-77.0305938720703,20.5,bars
288,152955,20004.0,Rasika,Indian,2,4.2,3943.0,38.8950080871582,-77.0212860107422,20.5,middle_eastern
290,152955,20004.0,Matchbox - Penn Quarter,New American,2,4.1,460.0,38.89595,-77.02249,20.5,american
293,152955,20004.0,The Smith,New American,2,3.9,1590.0,38.897666,-77.024307,20.5,american
296,152955,20004.0,Mi Vida,Mexican,3,4.0,155.0,38.89705,-77.02151,45.5,latin
297,152955,20004.0,Succotash Prime,Southern,2,4.1,1314.0,38.89764,-77.02474,20.5,american
298,152955,20004.0,OPO Bar & Lounge,Lounges,4,5.0,1.0,38.89424872193416,-77.02747742194228,61.0,bars
